source,sink,probability
933662,4281672,0
933662,2676929,1
2479662,2097830,0
2479662,3680143,1
4424605,698400,0
4424605,4149007,1
4517240,767418,0
4517240,276374,1
4825760,762002,0
4825760,4670601,1
4010302,134368,0
4010302,3753529,1
2689055,4143383,0
2689055,1744681,1
1009277,2783146,0
1009277,4082902,1
2031456,318014,0
2031456,3201269,1
1048279,4840349,0
1048279,1418327,1
3682961,3079227,0
3682961,1676923,1
2249170,512934,0
2249170,344638,1
357651,2336097,0
357651,2205599,1
1344405,562641,0
1344405,2746765,1
663014,698605,0
663014,3541155,1
4193047,2338153,0
4193047,3169531,1
3264759,332693,0
3264759,1347233,1
2699684,132930,0
2699684,3529431,1
1124237,2108980,0
1124237,1203129,1
3128197,2427493,0
3128197,2534303,1
1331940,4628658,0
1331940,2756250,1
2581641,4499508,0
2581641,1203129,1
879420,1976986,0
879420,1627800,1
3914135,3169951,0
3914135,3884904,1
1072715,3903378,0
1072715,4238451,1
318090,4263682,0
318090,1899260,1
1732261,4346919,0
1732261,1527599,1
4276499,466108,0
4276499,4067970,1
2789297,2293650,0
2789297,868022,1
3058068,477075,0
3058068,3306575,1
1734057,367332,0
1734057,671783,1
2104538,1548541,0
2104538,1022785,1
2536472,1642550,0
2536472,1732350,1
1483480,3927381,0
1483480,2178799,1
1387893,2231180,0
1387893,1557752,1
4349341,536760,0
4349341,2360323,1
514315,1441501,0
514315,2632287,1
1551372,922697,0
1551372,3402731,1
2368306,763644,0
2368306,3202014,1
2561270,2043969,0
2561270,3070111,1
1669475,1078440,0
1669475,4704619,1
1506917,3249904,0
1506917,2891848,1
1350290,4133485,0
1350290,3261972,1
4112373,1709990,0
4112373,3314815,1
4551487,1200635,0
4551487,4746089,1
2857618,765645,0
2857618,1692275,1
3552102,4118792,0
3552102,4576493,1
3402545,3167957,0
3402545,1036560,1
2257251,961655,0
2257251,2246339,1
2655966,2268797,0
2655966,538315,1
164459,192835,0
164459,2657563,1
2209969,1972732,0
2209969,3909544,1
3867477,2448245,0
3867477,1429810,1
979178,1889296,0
979178,214327,1
826408,1207381,0
826408,4362338,1
130004,3466212,0
130004,1871765,1
971774,1798758,0
971774,2883082,1
64321,1624965,0
64321,1613183,1
3578104,1652788,0
3578104,4146641,1
2819710,4141485,0
2819710,1288798,1
1834577,2360793,0
1834577,4265654,1
4773013,4853422,0
4773013,251689,1
3983436,2364347,0
3983436,2612542,1
1138484,746754,0
1138484,1229231,1
138939,1115150,0
138939,301420,1
3188415,4360559,0
3188415,406608,1
1252520,2821757,0
1252520,2309976,1
939998,3822705,0
939998,3136484,1
3687762,3542714,0
3687762,728663,1
3279718,1547710,0
3279718,3117310,1
3367289,784717,0
3367289,1050033,1
19499,3198984,0
19499,3831027,1
3476508,1450736,0
3476508,4848953,1
732335,4809689,0
732335,17824,1
2536935,812314,0
2536935,1319659,1
2164338,1934223,0
2164338,1343833,1
382444,4820797,0
382444,950719,1
1509455,4466026,0
1509455,3581640,1
1375942,3260753,0
1375942,3970596,1
1511324,2533209,0
1511324,2600787,1
1800445,2890913,0
1800445,2937885,1
3216427,4232250,0
3216427,4646293,1
3553064,3282102,0
3553064,1600857,1
4413978,4359314,0
4413978,733252,1
3525869,802296,0
3525869,2397223,1
2544030,1011286,0
2544030,3782854,1
2285051,1063166,0
2285051,1228370,1
2988634,4599465,0
2988634,1507966,1
4286410,4641790,0
4286410,1627275,1
1399703,674224,0
1399703,2752443,1
42654,997423,0
42654,1660858,1
131825,3166080,0
131825,2397801,1
2885447,3255410,0
2885447,2572914,1
2216865,4551482,0
2216865,3361377,1
516411,3651127,0
516411,2615120,1
1132938,4207109,0
1132938,2124296,1
1139873,2987410,0
1139873,2694534,1
495415,2619000,0
495415,3501660,1
2937080,2791980,0
2937080,3415302,1
279209,537658,0
279209,473102,1
4309059,194778,0
4309059,2466862,1
3788402,1826779,0
3788402,2827080,1
1330040,2186638,0
1330040,3438562,1
4419512,4187395,0
4419512,3662772,1
950719,2480856,0
950719,2887770,1
2514761,453768,0
2514761,2335486,1
3216859,4680948,0
3216859,3356198,1
4249983,1851770,0
4249983,4056436,1
25433,1773034,0
25433,1453473,1
2762372,3449367,0
2762372,2278866,1
1801941,2364559,0
1801941,233548,1
2082541,4010920,0
2082541,976227,1
873,285272,0
873,1760485,1
2631087,1871975,0
2631087,2299939,1
964737,1738846,0
964737,2798475,1
2467491,4082197,0
2467491,3643102,1
525683,4201882,0
525683,562796,1
225052,1906607,0
225052,1297701,1
646475,4337816,0
646475,2673868,1
958099,3153995,0
958099,3510864,1
2985352,503023,0
2985352,1232480,1
2601736,1630838,0
2601736,1036462,1
2949254,4209692,0
2949254,4531653,1
2595665,4410028,0
2595665,1008302,1
4158925,1872239,0
4158925,2526622,1
207338,4075098,0
207338,4060718,1
1842355,2713165,0
1842355,3069172,1
3948976,2602801,0
3948976,4467395,1
3793739,4692674,0
3793739,1809926,1
3644418,3261374,0
3644418,2283802,1
1655354,3597556,0
1655354,801222,1
437628,4785100,0
437628,4826918,1
3314795,1484077,0
3314795,4772245,1
4293631,2407220,0
4293631,183786,1
34811,3858742,0
34811,3056533,1
2498565,1218667,0
2498565,1173799,1
1633782,1642307,0
1633782,3196184,1
530263,4690451,0
530263,316542,1
3801898,2984066,0
3801898,4345005,1
3847476,291042,0
3847476,4238451,1
2767849,959061,0
2767849,1502511,1
2590374,2865003,0
2590374,1206697,1
4496464,1669543,0
4496464,2950784,1
4437948,2786419,0
4437948,4525523,1
1317538,999493,0
1317538,4467395,1
4143008,2712001,0
4143008,36557,1
3540235,2028290,0
3540235,4467395,1
4473441,2519597,0
4473441,3324273,1
414168,2229026,0
414168,2321778,1
1559310,2294283,0
1559310,923615,1
3458065,3316715,0
3458065,1594700,1
1218291,4826824,0
1218291,2324324,1
1843056,193794,0
1843056,3438576,1
2435106,3938881,0
2435106,508883,1
3025589,107706,0
3025589,689047,1
4517283,409065,0
4517283,1327933,1
3598745,4213836,0
3598745,2688275,1
751969,2771179,0
751969,3819344,1
3354770,3099935,0
3354770,1279238,1
4326790,3414294,0
4326790,4079946,1
1582613,4181533,0
1582613,233749,1
3997719,2295921,0
3997719,2369156,1
2858416,2807399,0
2858416,4627891,1
1784246,1249483,0
1784246,2536245,1
2216254,3314716,0
2216254,261881,1
765601,3431684,0
765601,3494704,1
1294042,4101160,0
1294042,2612638,1
529627,198730,0
529627,1392121,1
2159151,392647,0
2159151,2577066,1
1758501,2411173,0
1758501,2423135,1
1676913,101378,0
1676913,4424605,1
3383201,3966249,0
3383201,3638049,1
3594609,4480046,0
3594609,357689,1
513799,539,0
513799,227767,1
929698,104658,0
929698,4361289,1
4201646,2422255,0
4201646,1651812,1
1789430,3319567,0
1789430,2316882,1
3419162,2462490,0
3419162,2433051,1
114499,170546,0
114499,4168250,1
491505,2690096,0
491505,1919812,1
3671141,1632310,0
3671141,1628963,1
1938977,1972491,0
1938977,3627119,1
4835247,1222683,0
4835247,1397719,1
4723320,349206,0
4723320,204175,1
3502908,376239,0
3502908,3354770,1
609200,454692,0
609200,611426,1
1202593,1707589,0
1202593,2954649,1
2355488,3721397,0
2355488,312939,1
3734245,1217284,0
3734245,365371,1
2791796,193145,0
2791796,4844558,1
632811,2313104,0
632811,4520863,1
1085321,3543539,0
1085321,4629569,1
4179343,166338,0
4179343,2664479,1
4016675,2682984,0
4016675,3986468,1
1850456,1165927,0
1850456,565730,1
4103612,2866211,0
4103612,1684214,1
790848,2176212,0
790848,4004339,1
2880858,1895269,0
2880858,3871052,1
1927211,4768026,0
1927211,1858264,1
3980991,2733723,0
3980991,3227978,1
4763029,1301568,0
4763029,2374065,1
973742,2244999,0
973742,3633019,1
3275583,3569694,0
3275583,3978042,1
441560,2395483,0
441560,4070518,1
4473829,3892959,0
4473829,3927157,1
1724500,892950,0
1724500,873,1
675602,1366943,0
675602,1720388,1
1359393,3603973,0
1359393,1871677,1
478452,94583,0
478452,105029,1
2026109,4510802,0
2026109,2669438,1
3177515,2715753,0
3177515,3641226,1
944460,2381853,0
944460,1293807,1
2444382,4633431,0
2444382,2635670,1
3825502,3387073,0
3825502,1585435,1
2711439,784114,0
2711439,1689957,1
860342,190866,0
860342,64448,1
4113834,306717,0
4113834,582710,1
3614134,258817,0
3614134,3538729,1
4632823,3664803,0
4632823,1129338,1
2112582,1970740,0
2112582,1558923,1
1612169,3141737,0
1612169,3505219,1
4490745,4014489,0
4490745,4112685,1
2951816,4424177,0
2951816,1304317,1
1554305,965319,0
1554305,2304511,1
4126377,3524999,0
4126377,1554124,1
1673359,4834466,0
1673359,4576493,1
3673267,4708288,0
3673267,83091,1
673946,4143413,0
673946,4671746,1
34560,2338306,0
34560,2696068,1
4790006,1031550,0
4790006,127479,1
1962741,4691747,0
1962741,1964459,1
2932549,4164812,0
2932549,3940709,1
1039525,2471081,0
1039525,2173817,1
4379184,1655308,0
4379184,4476501,1
1230288,4769186,0
1230288,4134803,1
3406451,2487665,0
3406451,3766535,1
3346121,867647,0
3346121,287106,1
3449337,3224682,0
3449337,4370257,1
1063379,2850835,0
1063379,4030341,1
510245,4062155,0
510245,3880590,1
1428773,438014,0
1428773,1106963,1
2254986,1796087,0
2254986,3048776,1
1212079,4755793,0
1212079,4586787,1
2974194,301791,0
2974194,3811516,1
566828,1943243,0
566828,2848420,1
1957360,2113628,0
1957360,4812374,1
4734240,4436204,0
4734240,2485489,1
908899,4817400,0
908899,1306941,1
4713932,682492,0
4713932,4022700,1
2486535,1510626,0
2486535,2346390,1
3196184,2674680,0
3196184,4832782,1
3534161,3904686,0
3534161,3647860,1
2150273,2020818,0
2150273,300121,1
2688570,965966,0
2688570,4592614,1
4600827,4720244,0
4600827,2969320,1
4615234,2250259,0
4615234,2756283,1
2690953,368182,0
2690953,4762204,1
3923346,2412388,0
3923346,1245094,1
1923134,930109,0
1923134,3059150,1
47168,22026,0
47168,135764,1
1007809,1442104,0
1007809,1878773,1
1629019,3247124,0
1629019,2218994,1
2339921,4170611,0
2339921,713414,1
2326393,1671130,0
2326393,3281234,1
2456220,1947107,0
2456220,4760601,1
4848249,3344184,0
4848249,1900358,1
2069566,1629510,0
2069566,2141682,1
832987,3072003,0
832987,921773,1
3781638,120587,0
3781638,1102748,1
3294217,3340346,0
3294217,3193489,1
2846605,492444,0
2846605,764672,1
2858741,632607,0
2858741,673813,1
1118721,2579550,0
1118721,3541155,1
3578256,501291,0
3578256,2535047,1
4706009,2828082,0
4706009,3875269,1
1274130,2959762,0
1274130,3056533,1
2683789,2609113,0
2683789,4190503,1
1483750,4517833,0
1483750,3052884,1
1637447,4783535,0
1637447,1712324,1
4350704,2020260,0
4350704,2397312,1
2845921,400712,0
2845921,2850526,1
4332000,3821373,0
4332000,3631636,1
1536077,3714244,0
1536077,4468347,1
2960818,435945,0
2960818,4313335,1
503564,4215911,0
503564,3398258,1
3139564,2419296,0
3139564,1763872,1
948768,4745233,0
948768,2882981,1
34959,4425311,0
34959,779019,1
3177496,2416979,0
3177496,2798000,1
3147985,1952543,0
3147985,1012160,1
1083927,2810671,0
1083927,2289611,1
2993436,3389394,0
2993436,2650315,1
698983,637901,0
698983,347716,1
3578490,617961,0
3578490,1990651,1
3125855,3853066,0
3125855,858265,1
2538470,144361,0
2538470,4181344,1
4164420,3171422,0
4164420,3765475,1
2728236,2483888,0
2728236,2074389,1
4297001,2315542,0
4297001,2434931,1
4308804,3066227,0
4308804,1812062,1
2310300,35965,0
2310300,3935311,1
3702505,4718342,0
3702505,666019,1
4077796,1869461,0
4077796,2456220,1
2838035,2797672,0
2838035,1959914,1
2582360,613268,0
2582360,960860,1
5675,1516201,0
5675,4176070,1
2693578,239117,0
2693578,4827848,1
422075,4401480,0
422075,1990008,1
2138219,2709723,0
2138219,2462618,1
2961203,1335495,0
2961203,3824547,1
3066330,4397212,0
3066330,4246501,1
643882,752108,0
643882,2370573,1
1261656,281435,0
1261656,3835001,1
3916726,2250958,0
3916726,2492020,1
2774766,2608436,0
2774766,1250021,1
4295952,4466188,0
4295952,1024311,1
4117427,1288145,0
4117427,4782059,1
1774792,789061,0
1774792,1670848,1
596420,2883554,0
596420,2053068,1
602542,4835159,0
602542,1665131,1
3935241,3663796,0
3935241,2713411,1
1194592,2242671,0
1194592,506428,1
4297838,4184127,0
4297838,267263,1
1484256,4161384,0
1484256,1640087,1
1066504,715536,0
1066504,2174663,1
2348035,1005562,0
2348035,3108086,1
1550740,1557928,0
1550740,4177410,1
4220533,1456983,0
4220533,2308534,1
85551,3733923,0
85551,4155382,1
3327738,3936889,0
3327738,730225,1
1819285,1849366,0
1819285,1039525,1
2419757,1834620,0
2419757,3376890,1
2871562,3768120,0
2871562,1002443,1
3740086,1677253,0
3740086,2504942,1
4047191,448203,0
4047191,4046801,1
1905830,1289096,0
1905830,4590087,1
616984,2104937,0
616984,2919442,1
1851726,3136490,0
1851726,3924680,1
1804572,2711120,0
1804572,4499618,1
1476977,4717346,0
1476977,51185,1
873429,3426,0
873429,772022,1
1971091,4203335,0
1971091,749984,1
4572441,3812896,0
4572441,2989453,1
2571454,4372244,0
2571454,4449539,1
4597279,3906451,0
4597279,1892186,1
4802541,3465787,0
4802541,3768340,1
148308,2003836,0
148308,297198,1
1041449,4215197,0
1041449,2728072,1
4419587,952494,0
4419587,919664,1
338208,1485275,0
338208,162775,1
1945703,1432027,0
1945703,2191821,1
1373960,2670276,0
1373960,869535,1
2335227,3915851,0
2335227,4351124,1
2568727,4170652,0
2568727,3668937,1
509224,2846815,0
509224,1392660,1
3576334,3286215,0
3576334,2567638,1
1406120,1779344,0
1406120,201193,1
4864079,230060,0
4864079,2040882,1
4417063,2787576,0
4417063,1491879,1
2678284,767269,0
2678284,4762204,1
4212429,1525797,0
4212429,2173241,1
4074425,3143940,0
4074425,2012962,1
4671046,1858649,0
4671046,1103453,1
201193,3618054,0
201193,1688348,1
2041371,857774,0
2041371,1599987,1
3340807,1443446,0
3340807,4663781,1
3761507,638809,0
3761507,452358,1
4268239,3667672,0
4268239,397012,1
1763872,3662070,0
1763872,3386592,1
1071094,4610681,0
1071094,3056533,1
2567151,4020665,0
2567151,2492020,1
2557901,2850725,0
2557901,3728552,1
1190748,1818890,0
1190748,131192,1
4033543,4432777,0
4033543,725328,1
2684083,1356967,0
2684083,772565,1
3913458,2707647,0
3913458,232025,1
290157,1376371,0
290157,4836679,1
4529202,405169,0
4529202,3018040,1
1020925,412617,0
1020925,1017650,1
4362008,3979983,0
4362008,365817,1
2774949,772076,0
2774949,1938586,1
4796633,428778,0
4796633,4549430,1
2060819,227242,0
2060819,2035141,1
4203980,2097613,0
4203980,3079042,1
2120733,4564391,0
2120733,2219483,1
801222,809451,0
801222,2399737,1
1533225,1351420,0
1533225,880495,1
4565961,4759726,0
4565961,3590135,1
1696130,4246536,0
1696130,4433612,1
3954905,1858702,0
3954905,785699,1
4803113,4484200,0
4803113,502082,1
1270273,1247704,0
1270273,3432288,1
2838905,3340968,0
2838905,2142907,1
3846098,150068,0
3846098,3271463,1
2644133,1590138,0
2644133,1171914,1
52666,2002168,0
52666,3443242,1
4755225,1187392,0
4755225,2651242,1
3072042,812562,0
3072042,3064145,1
274242,2436897,0
274242,715028,1
977262,4532292,0
977262,3367289,1
740765,4374025,0
740765,408847,1
2870813,4621456,0
2870813,2163471,1
3984149,2294517,0
3984149,355151,1
1260822,2127553,0
1260822,128658,1
4645113,1064739,0
4645113,4081509,1
151400,3800056,0
151400,3561330,1
2214048,1822116,0
2214048,913693,1
750901,4554137,0
750901,3643175,1
2894019,3884911,0
2894019,1344286,1
4416945,986029,0
4416945,1645730,1
2536808,2625156,0
2536808,3881612,1
1572166,3510817,0
1572166,234663,1
2816710,929290,0
2816710,640667,1
4355002,1354562,0
4355002,2095191,1
2348182,2498832,0
2348182,3699535,1
4693295,1021240,0
4693295,4504196,1
4295176,21725,0
4295176,2770509,1
3380067,811253,0
3380067,4712919,1
725571,3259099,0
725571,1025098,1
3436293,806526,0
3436293,1481777,1
1501265,3940280,0
1501265,2922140,1
2245787,3855211,0
2245787,3111409,1
3653067,1156700,0
3653067,1179673,1
1889641,834652,0
1889641,315363,1
65274,761062,0
65274,1005024,1
3743386,1805839,0
3743386,2820941,1
3894694,3417398,0
3894694,4467395,1
4708835,4287837,0
4708835,122274,1
3660404,3914697,0
3660404,4829344,1
3757429,4862332,0
3757429,611426,1
1158858,1577396,0
1158858,3401730,1
507060,4478797,0
507060,4434849,1
2501916,3716640,0
2501916,4300088,1
1053923,358132,0
1053923,3343854,1
4336105,1308054,0
4336105,4736467,1
4681640,3741649,0
4681640,3056533,1
671875,1395645,0
671875,2985352,1
1453862,3538372,0
1453862,4011873,1
2732768,3089146,0
2732768,2703267,1
3719126,1614962,0
3719126,1763872,1
4324392,1210765,0
4324392,2177739,1
1497833,2252741,0
1497833,1922420,1
3056685,1694452,0
3056685,3961069,1
860409,3213080,0
860409,2275557,1
1054871,3544711,0
1054871,474359,1
1068032,1195715,0
1068032,4761813,1
3647664,139922,0
3647664,4181344,1
515879,2266628,0
515879,2386093,1
3686729,1536927,0
3686729,2545350,1
4826942,3411177,0
4826942,1277132,1
3305627,879167,0
3305627,506428,1
1657586,1907525,0
1657586,434888,1
2782931,109350,0
2782931,2230711,1
2469992,3665459,0
2469992,224893,1
3370297,465532,0
3370297,802459,1
544504,858011,0
544504,2821180,1
4714705,94242,0
4714705,1020529,1
1708324,672590,0
1708324,374494,1
1554124,4287630,0
1554124,2458460,1
2470392,1506646,0
2470392,349900,1
2836920,1553610,0
2836920,852641,1
679692,4650362,0
679692,2898368,1
4241838,1320010,0
4241838,312509,1
103113,2863226,0
103113,1516101,1
4393940,4022967,0
4393940,2487571,1
1387890,4497844,0
1387890,2371421,1
1284896,4605819,0
1284896,746711,1
3403968,4447921,0
3403968,3505472,1
4081916,3608536,0
4081916,3137900,1
1565926,1950627,0
1565926,3330257,1
1937952,1708477,0
1937952,1870637,1
3411223,154489,0
3411223,1809926,1
4768949,1774564,0
4768949,176013,1
1457770,1103639,0
1457770,2896906,1
4541993,3669567,0
4541993,703241,1
3403719,3184121,0
3403719,2427072,1
4532352,2100010,0
4532352,3695814,1
4762558,2928136,0
4762558,2196015,1
2165481,1437779,0
2165481,2282188,1
1617519,676371,0
1617519,4249280,1
449396,2979501,0
449396,4527917,1
3663452,2913194,0
3663452,2404411,1
3210032,3001607,0
3210032,3348908,1
3636772,1678777,0
3636772,4234145,1
2646696,3449008,0
2646696,2535073,1
4668387,4862880,0
4668387,3986955,1
4606228,4165492,0
4606228,2315034,1
4661499,881219,0
4661499,4852141,1
2617263,3488412,0
2617263,1874899,1
3446844,790905,0
3446844,2639946,1
4398589,3174378,0
4398589,3964688,1
2163070,1793297,0
2163070,1763872,1
4219872,1243985,0
4219872,3271484,1
2302636,3762753,0
2302636,1436562,1
1827064,4453002,0
1827064,3605729,1
17464,3190185,0
17464,4489910,1
3329010,4540913,0
3329010,4680700,1
4797264,4816440,0
4797264,3438395,1
575745,483356,0
575745,1276957,1
3974280,884082,0
3974280,3633718,1
1551090,4454552,0
1551090,274242,1
241266,1714343,0
241266,2822235,1
1545210,1510848,0
1545210,2273574,1
2187094,2724403,0
2187094,2294873,1
176013,2543860,0
176013,4636028,1
1087655,3597519,0
1087655,4616005,1
3658954,3824127,0
3658954,2259164,1
205263,4668689,0
205263,847623,1
144607,1861881,0
144607,851113,1
3746105,2433266,0
3746105,66188,1
1499065,3608758,0
1499065,723574,1
1216052,2257825,0
1216052,3335128,1
4496416,1259692,0
4496416,3402827,1
4749087,1455299,0
4749087,1163589,1
356401,2078684,0
356401,640164,1
157339,1199915,0
157339,2247286,1
1251567,2352721,0
1251567,2860521,1
4579906,1820339,0
4579906,1329875,1
3907996,2476600,0
3907996,4814763,1
3819344,1882392,0
3819344,1416419,1
4191727,3710801,0
4191727,1934033,1
1707646,3851361,0
1707646,3575644,1
1528294,4687004,0
1528294,2209323,1
2717007,2610758,0
2717007,3521384,1
1668102,309266,0
1668102,2954935,1
3280389,1742338,0
3280389,4098100,1
2519890,4168300,0
2519890,2948092,1
3863177,1959697,0
3863177,2326095,1
3536369,1805595,0
3536369,1877604,1
2205217,4169918,0
2205217,3767402,1
1219739,1356308,0
1219739,4455528,1
1505911,3242828,0
1505911,3639118,1
3764528,3276866,0
3764528,2426375,1
3034524,4842145,0
3034524,713290,1
3616798,712029,0
3616798,3209061,1
1284483,3588592,0
1284483,596245,1
1296381,4643033,0
1296381,2018400,1
592541,302751,0
592541,3154469,1
4715501,4013159,0
4715501,1125006,1
1511940,1195093,0
1511940,1800994,1
14638,2028078,0
14638,1486464,1
3379358,653026,0
3379358,1197033,1
4675122,2135482,0
4675122,765601,1
3824253,2530272,0
3824253,285212,1
4512801,3828344,0
4512801,2306021,1
2196316,1045558,0
2196316,824281,1
3635749,4188818,0
3635749,3633869,1
3701659,3945066,0
3701659,2527031,1
1590850,3586196,0
1590850,25927,1
4088293,1431446,0
4088293,3832943,1
3807145,3527365,0
3807145,2635670,1
3320445,800429,0
3320445,1338714,1
1970580,3017558,0
1970580,2511833,1
1279417,4032546,0
1279417,1048555,1
1635639,3975081,0
1635639,1960862,1
1043321,236754,0
1043321,1801099,1
3969921,716490,0
3969921,3476744,1
913693,1841647,0
913693,1664942,1
2847192,4265794,0
2847192,3500202,1
4035816,639220,0
4035816,2771294,1
2008967,2257687,0
2008967,2077531,1
1094734,2267432,0
1094734,4822072,1
4376234,1742904,0
4376234,1752954,1
1983954,4045455,0
1983954,416053,1
4675986,3152594,0
4675986,259232,1
3758037,2187619,0
3758037,1944265,1
370764,308050,0
370764,3025157,1
3922053,2150236,0
3922053,4600827,1
1595220,1752387,0
1595220,1810725,1
2533794,638451,0
2533794,2865174,1
4381145,824148,0
4381145,4405108,1
2629053,1669122,0
2629053,1849966,1
458096,4603012,0
458096,1896126,1
4308267,1599575,0
4308267,3555061,1
4530534,1046634,0
4530534,1651812,1
3808473,591905,0
3808473,3070838,1
4327096,3417551,0
4327096,3198666,1
1354205,2789010,0
1354205,3167929,1
744963,2203647,0
744963,3376785,1
4577543,3289620,0
4577543,1764269,1
2881102,1906359,0
2881102,3396499,1
3159408,262083,0
3159408,4077796,1
3472565,2326067,0
3472565,2036398,1
1567691,653022,0
1567691,2026109,1
766643,4769909,0
766643,4489753,1
2890130,3133001,0
2890130,2897261,1
4427061,2338130,0
4427061,1666067,1
1170741,1257329,0
1170741,4223004,1
3930937,2862241,0
3930937,2642212,1
4125640,1297762,0
4125640,4733969,1
1237857,1691615,0
1237857,3454314,1
2000396,1831547,0
2000396,822597,1
4381553,1812349,0
4381553,2809201,1
2976479,425184,0
2976479,4584731,1
1285026,277985,0
1285026,4513180,1
2038265,3057077,0
2038265,3295952,1
4219266,3374442,0
4219266,850519,1
3472556,2342470,0
3472556,1150919,1
1822851,761115,0
1822851,2574450,1
3923749,2487400,0
3923749,3962050,1
4706404,630449,0
4706404,1126214,1
1138515,2135195,0
1138515,449201,1
3298870,2339478,0
3298870,3173433,1
3981630,3946125,0
3981630,2469992,1
3749753,1495634,0
3749753,1426415,1
2174663,1747283,0
2174663,4667912,1
2036398,1291651,0
2036398,3600084,1
4391885,1718365,0
4391885,2602849,1
425363,773292,0
425363,3869789,1
1399525,2203367,0
1399525,3210032,1
4389651,3986235,0
4389651,1391829,1
4657951,2857146,0
4657951,2528484,1
1177809,384437,0
1177809,2998026,1
3106402,2703278,0
3106402,3205360,1
4664312,1869023,0
4664312,4381016,1
67755,4679723,0
67755,646613,1
3440503,874920,0
3440503,2148937,1
1479668,270103,0
1479668,184318,1
2384520,971195,0
2384520,1737397,1
4232730,1820445,0
4232730,3085337,1
1776708,521439,0
1776708,822279,1
4020253,3190557,0
4020253,4448430,1
1597683,4774694,0
1597683,1979712,1
410415,3768716,0
410415,3823350,1
2746218,4611582,0
2746218,1737397,1
261549,1163116,0
261549,4794273,1
333047,4674665,0
333047,3093066,1
3782918,4003283,0
3782918,1966206,1
3860049,535133,0
3860049,746711,1
4548839,2107857,0
4548839,3142255,1
4823479,3380800,0
4823479,1066504,1
428221,3116669,0
428221,254236,1
2903143,1523657,0
2903143,2401907,1
365084,2092448,0
365084,4331537,1
2749273,2814210,0
2749273,3882825,1
4728640,4124854,0
4728640,2630448,1
2160481,2301038,0
2160481,4262070,1
1916562,4456594,0
1916562,3314815,1
3134537,3099429,0
3134537,4594152,1
2171133,1916398,0
2171133,3123939,1
2809337,2165406,0
2809337,325974,1
4780657,3917108,0
4780657,1233728,1
2680199,1457319,0
2680199,2139098,1
3333059,4669925,0
3333059,1930229,1
2739694,1209039,0
2739694,2163471,1
3196759,1194344,0
3196759,4597849,1
2669216,3405689,0
2669216,2799941,1
1889048,4757667,0
1889048,4329934,1
3639118,3878637,0
3639118,2150086,1
1308667,2576337,0
1308667,3715866,1
1796347,1195228,0
1796347,661185,1
4360960,4823158,0
4360960,654445,1
398919,4614050,0
398919,1892533,1
2027839,2351596,0
2027839,3989089,1
1085957,173306,0
1085957,1711373,1
434299,640444,0
434299,4703736,1
1919812,3135461,0
1919812,1206079,1
1349132,945571,0
1349132,4538645,1
2764108,2603294,0
2764108,333238,1
1943259,979738,0
1943259,1826387,1
1783006,1764342,0
1783006,3978787,1
4838698,4736792,0
4838698,4404442,1
2543565,744656,0
2543565,4762204,1
3783912,282100,0
3783912,4865169,1
881446,1909563,0
881446,4651058,1
4667912,3814945,0
4667912,3998190,1
815493,2811306,0
815493,1237857,1
977353,3934495,0
977353,2358669,1
2147349,2648688,0
2147349,2942607,1
4025201,3360225,0
4025201,1576860,1
706552,2433357,0
706552,1497927,1
826026,3774126,0
826026,3526650,1
3592449,4102452,0
3592449,2554186,1
4060158,1257323,0
4060158,1329031,1
3035361,1271807,0
3035361,2775609,1
3654796,4498505,0
3654796,1705130,1
889255,4159609,0
889255,4087246,1
3483305,1656381,0
3483305,336679,1
2670782,3000322,0
2670782,892512,1
3046955,4585249,0
3046955,742691,1
840209,2430171,0
840209,4612046,1
1007677,1102464,0
1007677,766318,1
4253651,4012816,0
4253651,1589789,1
653120,4192946,0
653120,977888,1
3541384,1305807,0
3541384,3644723,1
4315688,3521942,0
4315688,2775609,1
4796933,758067,0
4796933,1341555,1
819214,3235004,0
819214,2135099,1
159663,3826710,0
159663,2924614,1
3023796,3082036,0
3023796,539881,1
4053607,3626101,0
4053607,4519748,1
3244470,1229754,0
3244470,4762204,1
3315043,3422902,0
3315043,3825191,1
3563963,4386779,0
3563963,4128691,1
418494,319599,0
418494,528706,1
4516838,3524854,0
4516838,4208653,1
3321875,4158424,0
3321875,1796080,1
734984,4079363,0
734984,4378783,1
1646958,2690429,0
1646958,3582205,1
4666970,2876952,0
4666970,1123939,1
324079,392287,0
324079,4333150,1
1034604,3510890,0
1034604,3421548,1
1330845,3092544,0
1330845,2686795,1
3358357,4491842,0
3358357,4353654,1
3251318,2607270,0
3251318,1572098,1
4625974,1005355,0
4625974,3681482,1
719938,837138,0
719938,1348952,1
4299489,494542,0
4299489,4582129,1
1748101,425820,0
1748101,2439285,1
4186949,2381350,0
4186949,1269260,1
2956248,1521118,0
2956248,2895032,1
4269612,4037291,0
4269612,2835239,1
2548504,3599216,0
2548504,4380290,1
455376,4788227,0
455376,2038930,1
3779056,3680552,0
3779056,4203161,1
2940588,1861790,0
2940588,410846,1
4499720,2255430,0
4499720,3369449,1
2538609,2517118,0
2538609,483251,1
2077019,1406909,0
2077019,2860123,1
1034042,4085966,0
1034042,3893811,1
126626,4375451,0
126626,1627800,1
967593,4285082,0
967593,2600192,1
3380190,608897,0
3380190,746711,1
2172300,2563561,0
2172300,2255832,1
4045966,1345286,0
4045966,2283304,1
1040484,1597578,0
1040484,1568345,1
4827775,2278938,0
4827775,893343,1
